Subject,Predicate,Object
Office of Student Affairs,is_under_faculty,NUS
Eusoff Hall,is_under_faculty,NUS
NUS Centre for the Arts,is_under_faculty,NUS
King Edward VII Hall,is_under_faculty,NUS
Pioneer House,is_under_faculty,NUS
Temasek Hall,is_under_faculty,NUS
NUS Information Technology,is_under_faculty,NUS
Temasek Defence Systems Inst,is_under_faculty,Temasek Defence Sys. Institute
Division of Graduate Dental Studies,is_under_faculty,Dentistry
Mechanical Engineering,is_under_faculty,College of Design and Engineering
Centre for Biomedical Ethics,is_under_faculty,Yong Loo Lin Sch of Medicine
Engineering Science Programme,is_under_faculty,College of Design and Engineering
NUS Enterprise Academy,is_under_faculty,NUS
Industrial Systems Engineering and Management,is_under_faculty,College of Design and Engineering
Risk Management Institute,is_under_faculty,Risk Management Institute
Asian Inst of Digital Finance,is_under_faculty,NUS
NUS College Dean's Office,is_under_faculty,NUS College
PharmacyandPharmaceuticalScience,is_under_faculty,Science
Microbiology and Immunology,is_under_faculty,Yong Loo Lin Sch of Medicine
SSH School of Public Health Dean's Office,is_under_faculty,SSH School of Public Health
NUS,is_under_faculty,NUS
Biochemistry,is_under_faculty,Yong Loo Lin Sch of Medicine
Materials Science and Engineering,is_under_faculty,College of Design and Engineering
Pharmacology,is_under_faculty,Yong Loo Lin Sch of Medicine
Tembusu College,is_under_faculty,Residential College
Residential College 4,is_under_faculty,Residential College
Real Estate,is_under_faculty,NUS Business School
Duke-NUS Dean's Office,is_under_faculty,Duke-NUS Medical School
Duke-NUS Medical School,is_under_faculty,Duke-NUS Medical School
NUSGS Dean’s Office,is_under_faculty,NUS Graduate School
Risk Management Institute,is_under_faculty,NUS
FoL Dean's Office,is_under_faculty,Law
Logistics Inst - Asia Pac,is_under_faculty,Logistics Inst-Asia Pac
Logistics Inst - Asia Pac,is_under_faculty,NUS
Mechanobiology Institute (MBI),is_under_faculty,Mechanobiology Institute (MBI)
Pathology,is_under_faculty,Yong Loo Lin Sch of Medicine
Medicine,is_under_faculty,Yong Loo Lin Sch of Medicine
Paediatrics,is_under_faculty,Yong Loo Lin Sch of Medicine
Office of the President,is_under_faculty,NUS
Materials Science,is_under_faculty,Science
Nanoengineering Programme,is_under_faculty,College of Design and Engineering
NUS College Dean's Office,is_under_faculty,NUS
Alice Lee Center for Nursing Studies,is_under_faculty,Yong Loo Lin Sch of Medicine
LKYSPP Dean's Office,is_under_faculty,LKY School of Public Policy
Center for Quantum Technologies,is_under_faculty,NUS Graduate School
Ridge View Residential College,is_under_faculty,Residential College
University Scholars Programme,is_under_faculty,Computing
College of Alice and Peter Tan,is_under_faculty,Residential College
Residential Colleges,is_under_faculty,Residential College
Yale-NUS College,is_under_faculty,Yale-NUS College
